PlayerID,Age,Gender,Location,GameGenre,PlayTimeHours,InGamePurchases,GameDifficulty,SessionsPerWeek,AvgSessionDurationMinutes,PlayerLevel,AchievementsUnlocked,EngagementLevel
9000,43,Male,Other,Strategy,16.271118760553215,0,Medium,6,108,79,25,Medium
9001,29,Female,USA,Strategy,5.525961380570566,0,Medium,5,144,11,10,Medium
9002,22,Female,USA,Sports,8.223755243499511,0,Easy,16,142,35,41,High
9003,35,Male,USA,Action,5.265351277318268,1,Easy,9,85,57,47,Medium
9004,33,Male,Europe,Action,15.53194452113429,0,Medium,2,131,95,37,Medium
9005,37,Male,Europe,RPG,20.561855414112554,0,Easy,2,81,74,22,Low
9006,25,Male,USA,Action,9.752716365932255,0,Hard,1,50,13,2,Low
9007,25,Female,Asia,RPG,4.401729344841462,0,Medium,10,48,27,23,Medium
9008,38,Female,Europe,Simulation,18.15273259575482,0,Easy,5,101,23,41,Medium
9009,38,Female,Other,Sports,23.942771725289525,0,Easy,13,95,99,36,High
9010,17,Male,USA,Strategy,4.829915833543258,0,Hard,8,95,14,12,High
9011,36,Female,Asia,Simulation,5.53598092541321,1,Easy,16,124,62,31,High
9012,16,Male,USA,Sports,18.776233805679176,1,Easy,9,18,52,32,High
9013,38,Female,USA,Strategy,8.701959180591404,0,Easy,0,156,33,47,Low
9014,44,Male,USA,Simulation,17.975200475946355,0,Easy,8,41,98,1,Low
9015,16,Male,Europe,RPG,7.9515113390570535,0,Medium,10,156,58,24,High
9016,35,Male,Asia,Strategy,17.88789845694821,0,Easy,16,154,62,4,High
9017,47,Male,USA,RPG,17.272112901806345,0,Medium,2,131,13,9,Low
9018,26,Female,Asia,Action,19.416078735805648,0,Easy,3,135,77,25,Medium
9019,36,Female,Asia,RPG,19.3388255215677,0,Easy,4,56,21,30,Low
9020,39,Female,USA,Sports,1.7225809816138815,0,Easy,2,177,34,37,Medium
9021,41,Female,USA,Sports,16.16768979311812,0,Easy,18,159,36,33,High
9022,42,Male,USA,Sports,10.44812618560384,0,Medium,2,120,81,5,Low
